board,noise,variant,precision,recall,F1,Pratt FOM,time (ms)
01,clean,1 Baseline (Gaussian + fixed Canny),0.6153222701760784,0.9173445426121252,0.7365756494288118,0.4177957252243959,3.992700017988682
01,clean,2 + intensity-Otsu thresholds,0.5420433634690776,0.9668911117165505,0.6946582756533819,0.47582654697489557,3.099700028542429
01,clean,3 + gradient-domain thresholds,0.5418826999001094,0.9703031954228778,0.6954046018861313,0.4801647465874455,7.56960001308471
01,clean,4 + noise-scaled threshold floor,0.5418826999001094,0.9703031954228778,0.6954046018861313,0.4801647465874455,7.277400000020862
01,clean,5 + morphological repair,0.5975454233801851,0.9631546854525876,0.7375262820091758,0.5984097109960478,14.143600012175739
01,clean,6 Proposed (+ noise-adaptive filter),0.6248008033355891,0.985443506013311,0.7647359976672309,0.6537413009124908,21.470800042152405
01,clean,7 Proposed with Sobel + Otsu,0.7552557320824222,0.9823038700553977,0.853945530954213,0.7635013536185101,28.14480004599318
01,gaussian s=10,1 Baseline (Gaussian + fixed Canny),0.6688462303121341,0.9179543066204803,0.7738468235821756,0.41443425928548644,2.844100003130734
01,gaussian s=10,2 + intensity-Otsu thresholds,0.5377325928017823,0.9696415366053011,0.6918094816608874,0.48171951217586584,3.389999968931079
01,gaussian s=10,3 + gradient-domain thresholds,0.5386614684860299,0.9672024805718809,0.6919545538414964,0.4778330996323206,8.353100041858852
01,gaussian s=10,4 + noise-scaled threshold floor,0.5386614684860299,0.9672024805718809,0.6919545538414964,0.4778330996323206,7.540600025095046
01,gaussian s=10,5 + morphological repair,0.5925131204898316,0.961766499305907,0.7332776707980184,0.5957841730152013,14.350100012961775
01,gaussian s=10,6 Proposed (+ noise-adaptive filter),0.5864443638999638,0.9581338626603874,0.7275671687670672,0.5797655889173474,21.017600025516003
01,gaussian s=10,7 Proposed with Sobel + Otsu,0.9655806303364536,0.9483516911220955,0.9568886145320752,0.9425460631276189,28.632899979129434
01,gaussian s=25,1 Baseline (Gaussian + fixed Canny),0.6448838157358336,0.9241297889178635,0.7596573321542844,0.43088450558478836,4.612500022631139
01,gaussian s=25,2 + intensity-Otsu thresholds,0.2509515916639915,0.9826930811245606,0.39980457625284027,0.3020084822765575,5.507700028829277
01,gaussian s=25,3 + gradient-domain thresholds,0.37010694159188173,0.9733649891669586,0.5362957438042144,0.4184369882570762,9.017999982461333
01,gaussian s=25,4 + noise-scaled threshold floor,0.9552501256010909,0.867953657935365,0.909511979127708,0.34221412785948585,7.421999995131046
