board,variant,precision,recall,F1,Pratt FOM,fragmentation
01,raw Canny,0.5418826999001094,0.9703031954228778,0.6954046018861313,0.4801647465874455,12.969921831644706
01,+ closing,0.5987506137814392,0.9708740383243166,0.7407011932072821,0.6025974076661206,2.782475857930056
01,+ area filter,0.5266896859356672,0.9239870781925038,0.6709343887703263,0.4508028528957506,7.484015926250227
01,"+ closing, area filter",0.5975454233801851,0.9631546854525876,0.7375262820091758,0.5984097109960478,1.988344189235516
01,"+ closing, area, open",0.9468967062514004,0.3835156138507246,0.5459204880534465,0.2143527018879354,38.93121218911046
04,raw Canny,0.3579766110099392,0.9246950237899331,0.5161401902923071,0.4002980777090372,8.820238278078856
04,+ closing,0.3927256217525097,0.9252793379362978,0.5514105248459468,0.4306438436446808,2.6736619078847803
04,+ area filter,0.335731825709554,0.8558294279683755,0.4822734466413742,0.3800449543465591,4.534292730283822
04,"+ closing, area filter",0.3881839365848198,0.9077141392098642,0.54380827386615,0.42660358381557184,1.6484690606779075
04,"+ closing, area, open",0.7609980302035456,0.21688787130779047,0.33756748631957917,0.10907012478494198,59.83256730137886
05,raw Canny,0.3177416427328344,0.9683195592286501,0.47847714707571093,0.3505976501818823,9.267464579707669
05,+ closing,0.3545153794651648,0.9688625768171223,0.5190908348433351,0.38430205239874193,2.904572486314048
05,+ area filter,0.2991407682283038,0.9155673871582962,0.45094540667201805,0.33313214822525106,4.494952841649548
05,"+ closing, area filter",0.3514696995214932,0.9574459631277813,0.514186291097591,0.3814790765056024,1.9913016772506167
05,"+ closing, area, open",0.781855249745158,0.2826870099597372,0.4152401104922823,0.13157547769560782,53.791264800439116
06,raw Canny,0.2692321934420766,0.9693649190797194,0.4214191051653066,0.31746804588519945,8.007628075762344
06,+ closing,0.2926817009013839,0.9697060669741546,0.44964824323989927,0.33688409864260666,2.7895989009147875
06,+ area filter,0.25165928151684,0.9049698425261319,0.39380654633433365,0.30157994291352197,4.374037236369169
06,"+ closing, area filter",0.28977430570170637,0.9559782757020824,0.4447399029995586,0.3342079505727691,2.1382451237067404
06,"+ closing, area, open",0.4772773485156568,0.25461914249065254,0.33207960607156745,0.12908643922334256,33.60105734038227
07,raw Canny,0.3404110611615215,0.9147381242387332,0.4961752422405606,0.37464359911755873,10.251646401141283
07,+ closing,0.35344827586206895,0.9153214046765367,0.5099724202192977,0.38678195436677987,5.478569126651627
07,+ area filter,0.32232862032011617,0.849908219107581,0.46739657797722817,0.3534735638917383,5.392885539461403
07,"+ closing, area filter",0.3469701680603512,0.8878214475648042,0.4989466286798276,0.380131511875557,3.632852771277553
07,"+ closing, area, open",0.8216922203293583,0.06393782916745296,0.11864370871673498,0.025241619937455828,120.38614423622941
08,raw Canny,0.7394251234682702,0.9242972241825452,0.8215897202770532,0.363585087245926,12.553468476845826
08,+ closing,0.7538710291040518,0.9247873049478554,0.8306280594939036,0.40061759378905215,5.6876545558303215
08,+ area filter,0.7403992685156965,0.8981220105073316,0.8116695072937522,0.34477791931962143,7.804676274654939
08,"+ closing, area filter",0.755137912385073,0.9167548812044225,0.8281348778054601,0.39470684843219483,4.307347601019856
08,"+ closing, area, open",0.9108305861542173,0.11948169058260802,0.2112516384114711,0.05536875884878023,69.06810324033127
09,raw Canny,0.5655053333484795,0.925734254344076,0.7021107304494157,0.4010412246772483,15.846690370437686
09,+ closing,0.6023265569208418,0.9265708637807343,0.7300662955767451,0.46562304887394096,5.708965531353271
09,+ area filter,0.5495180941989453,0.8675417749446579,0.6728437000952815,0.36707864850567284,8.862217372855671
09,"+ closing, area filter",0.5991301007961966,0.9106382663675603,0.722747685252691,0.4568972569515912,3.944650327509784
09,"+ closing, area, open",0.9292245410762895,0.20234842932130984,0.33232876940765965,0.09656893935361273,62.32986668527954
10,raw Canny,0.48745092775895044,0.9337236358177587,0.6405187148922118,0.4652484268877345,15.535348790390229
10,+ closing,0.5304037384262619,0.9343691360804623,0.6766822235346067,0.5594737170407217,4.7020578759469425
10,+ area filter,0.47496867679904126,0.8727613900773099,0.6151592708279968,0.4166203084449143,7.317826079061575
10,"+ closing, area filter",0.5295838847228349,0.9215942355325377,0.6726416951567674,0.5579298861495067,2.793706807822379
10,"+ closing, area, open",0.7985677004309036,0.31305261577722737,0.4497825450831232,0.20202647898316173,41.99793651756995
11,raw Canny,0.5298778321775526,0.9436266020090059,0.6786634728162577,0.4452032690426139,15.074057485288893
11,+ closing,0.5685368121723426,0.9442822504824583,0.709746768444475,0.5426944572485878,4.150887454346976
11,+ area filter,0.5158336959796471,0.8798555099213222,0.6503727587658598,0.3978743806457308,6.494158604760151
11,"+ closing, area filter",0.568063221618068,0.9299569498738186,0.7052966988893377,0.5325810617107919,2.095517236656486
11,"+ closing, area, open",0.8269020749908992,0.2905017566430798,0.42995468344760457,0.1705525761158146,46.71763135541803
12,raw Canny,0.3083209039548023,0.9692327710615345,0.46782335640416656,0.34304714325029617,8.759322033898306
12,+ closing,0.3431115236929828,0.9695048380609903,0.5068476851382933,0.375195091960261,3.2912781130005486
12,+ area filter,0.2881093120072173,0.9091414511817171,0.43755598421092495,0.3233313874079285,4.304066308934226
12,"+ closing, area filter",0.34015495183240735,0.9583264330833471,0.5020934230895243,0.3721622277095088,2.4041320488641964
12,"+ closing, area, open",0.8352079325144295,0.2599186164801628,0.39645845585920436,0.13303393242175082,57.125943466035224
